Stations,Drones,Iteration,APCount,Distance,APDistance,FlightTime,APFlightTime
15,8,8,13,7196.849335309528,6787.802121561079,2.52982514923895,2.80324385340869
15,8,9,11,7656.818267228818,6686.57902942655,3.27551079834813,3.121519978760884
15,8,10,13,6767.693183767847,6324.524218078683,2.922282297306361,2.922282297306361
15,9,1,13,7530.433213015979,7071.063545648333,2.6039948462889653,2.6039948462889653
15,9,2,13,8304.166071100575,7585.817353939571,3.0579691098599042,2.9898909887488205
15,9,3,14,6698.601016913959,6340.908014069399,2.571200941371479,2.571200941371479
15,9,4,10,5804.332590764637,4122.939945187705,2.3259114537297116,2.3259114537297116
15,9,5,9,6686.854148916516,7766.214032885824,2.5248398151278195,2.2617965412398027
15,9,6,9,7259.008132268088,7406.842530892591,3.0761940105417125,2.475817887335069
15,9,7,15,8108.337677135686,8108.337677135686,2.957535075652439,2.957535075652439
15,9,8,10,7625.409038405328,5577.918228482966,2.732711506010075,2.732711506010075
15,9,9,12,6068.059096488511,5098.888230410149,2.276377904840018,2.2575864792674545
15,9,10,10,7964.678956067338,5380.642673105508,2.7061828149311187,2.7061828149311187
15,10,1,12,8127.868619843915,7219.253735170396,2.639961135294184,2.639961135294184
15,10,2,11,8995.627921061541,7051.179745148039,2.8774892364307965,2.8774892364307965
15,10,3,9,7651.648275081528,7802.6148191727425,2.666084624941154,2.520231579709196
15,10,4,12,7606.425638946497,6443.7442234313985,2.8437322011166826,2.8065675264094203
15,10,5,13,7266.939293413258,6793.08720162483,3.0518583719677985,3.0518583719677985
15,10,6,12,8267.081841739702,6385.494697976206,2.791403883655462,2.791403883655462
15,10,7,12,7932.61076371865,6135.315454084299,2.8022414330193275,2.7644541427391514
15,10,8,11,5800.094378093961,4966.719568721562,2.1640124772115485,2.1640124772115485
15,10,9,10,7016.675296480835,7490.757556405065,2.1858578556595143,2.1593100813534964
15,10,10,11,6533.818127747467,5598.679386976297,2.815466025416033,2.815466025416033
20,1,1,15,3676.5417267733906,3519.0016953101854,6.808410605135909,6.516669806129973
20,1,2,11,2931.5084925972665,2554.48049957012,5.428719430735679,4.730519443648371
20,1,3,13,3307.9977648603385,2935.4210888203734,6.125921786778405,5.435964979296989
20,1,4,17,3495.8897920978397,3405.7313599975087,6.47386998536637,6.306909925921312
20,1,5,12,3527.1335447680344,3292.839482793382,6.531728786607472,6.097850894061819
20,1,6,14,3757.0280543475924,3475.3069057681887,6.957459359902948,6.43575352920035
20,1,7,11,3390.3528261171814,3194.2613107710517,6.278431159476263,5.915298723650096
20,1,8,14,3810.4289060107953,3689.2179157531846,7.056349825945918,6.831885029172565
20,1,9,15,3018.2858475411645,2930.233952638358,5.589418236187342,5.426359171552515
20,1,10,17,3924.1854476758613,3896.2725750349464,7.267010088288632,7.215319583398049
20,2,1,14,4076.9312309118814,3892.948169273233,4.06708898598877,4.002798810722556
20,2,2,17,5027.601997403096,3859.009413477408,5.98071325039634,3.7439422136254317
20,2,3,15,5178.137185091513,5002.900235153385,5.936432902767805,6.441975958497424
20,2,4,13,4040.9970893440022,4385.626641405048,3.821921657995872,5.036304470637029
20,2,5,16,4309.996178768921,4189.235228601008,4.149042312619049,3.9813822186542387
20,2,6,14,5139.546203855544,4094.4234152344216,4.8647707940740395,4.223630094950416
20,2,7,14,5744.324674518488,3998.705866325433,6.385809154223491,3.8784937832297013
20,2,8,15,4500.667616500547,3711.8918364384704,4.669377189355439,4.064616994357502
20,2,9,16,4317.890893822413,4011.7538244629513,4.015656944949873,3.755302008405962
20,2,10,14,4419.387996836084,3763.638135762205,4.54777219911139,3.7142320396689477
20,3,1,15,4654.521096931328,4513.557173398621,3.52955467932925,3.101120211741436
20,3,2,15,5095.140862617088,5133.5025143879775,3.2446458706252703,3.4264311914781174
20,3,3,12,4557.393380024523,4608.631452136745,3.5840458102653825,3.126160643600633
20,3,4,14,4693.645206830404,4200.226128926413,3.1214666008195686,2.833620928486428
20,3,5,15,5712.521939368189,5209.492621351254,3.7868630754955044,3.4752535571693866
20,3,6,11,4948.71868613828,4662.157187019899,3.377136826950205,3.3490730888086815
20,3,7,15,5033.177078148872,4476.13296014549,3.547093811985563,3.4715432646144286
20,3,8,16,4977.6872796834805,4191.14805785242,3.4012821918239604,3.051007096626256
20,3,9,12,5040.130985027614,5290.578230294821,3.5398710793805837,4.569250977800805
